"Seed","FinalCos","FinalMse","MaxDrop","Verdict"
"42","0.95033","1.231","0.0093","drifted (different image)"
"137","0.97914","0.4311","0.004","drifted (different image)"
"5517","0.97337","0.6209","0.005","drifted (different image)"
"92048","0.98657","0.284","0.0024","same-image"
"210987","0.98397","0.3741","0.0028","same-image"
"371506","0.98764","0.4031","0.0022","same-image"
"5293047","0.95349","0.9558","0.009","drifted (different image)"
"6543210","0.9901","0.2794","0.0017","same-image"
"64820153","0.96993","0.8002","0.0054","drifted (different image)"
"98765432","0.90243","2.364","0.0185","drifted (different image)"
"731509284","0.98505","0.3356","0.0028","same-image"
"1357924680","0.94745","1.375","0.0094","drifted (different image)"
"2468135791","0.96787","0.7189","0.0063","drifted (different image)"
"3579246812","0.98431","0.3437","0.0029","same-image"
"4680357923","0.97514","0.7697","0.0043","drifted (different image)"
"5791468034","0.97248","0.7247","0.0048","drifted (different image)"
"6802579145","0.96156","1.216","0.0067","drifted (different image)"
"7913680256","0.87229","4.049","0.0229","drifted (different image)"
"8426170395","0.98849","0.268","0.0021","same-image"
"9517038246","0.99264","0.2229","0.0011","same-image"
