seed,final_cos,final_mse,max_step_drop,verdict
42,0.96370,7.745e-01,0.0071,drifted
137,0.98270,3.487e-01,0.0033,same-image
5517,0.94933,1.037e+00,0.0102,drifted
92048,0.96256,7.856e-01,0.0075,drifted
371506,0.98030,6.936e-01,0.0031,same-image
5293047,0.93574,1.282e+00,0.0130,drifted
64820153,0.98437,3.648e-01,0.0030,same-image
731509284,0.98253,3.383e-01,0.0033,same-image
8426170395,0.97336,5.188e-01,0.0053,drifted
9517038246,0.98868,3.106e-01,0.0020,same-image
210987,0.98419,3.575e-01,0.0029,same-image
6543210,0.98085,4.837e-01,0.0036,same-image
98765432,0.93685,1.156e+00,0.0129,drifted
1357924680,0.96931,7.286e-01,0.0058,drifted
2468135791,0.95986,7.483e-01,0.0079,drifted
3579246812,0.96793,6.867e-01,0.0063,drifted
4680357923,0.96709,9.220e-01,0.0059,drifted
5791468034,0.97653,5.257e-01,0.0046,drifted
6802579145,0.94655,1.354e+00,0.0098,drifted
7913680256,0.89415,2.382e+00,0.0210,drifted
